name,parameters_bn,display_name,url,baseline,description,style,tags,instruct_format,settings
acrastt/Marx-3B-V3,3,,https://huggingface.co/acrastt/Marx-3B-V3,StableLM-3B-4E1T,This is StableLM 3B 4E1T finetuned on EverythingLM Data V3 for 2 epochs using QLoRA.,generalist,,,"{""temperature"": 0.7, ""top_p"": 0.1, ""top_k"": 40, ""rep_pen"": 1.18}"
Aeala/Enterredaas-33b,33,,https://huggingface.co/Aeala/Enterredaas-33b,,,generalist,,,
Aeala/Enterredaas-65b,65,,https://huggingface.co/Aeala/Enterredaas-65b,,,generalist,,,
aetherwiing/MN-12B-Starcannon-v3,12,,,,,generalist,,,
ai21labs/AI21-Jamba-1.5-Mini,26,,https://huggingface.co/ai21labs/AI21-Jamba-1.5-Mini,,,generalist,,,
allura-org/MS-Meadowlark-22B,22,,https://huggingface.co/allura-org/MS-Meadowlark-22B,,,generalist,,,
allura-org/Tlacuilo-12B,12,,https://huggingface.co/allura-org/Tlacuilo-12B,mistralai/Mistral-Nemo-Base-2407,,chat,,ChatML,
alpindale/goliath-120b,120,,https://huggingface.co/alpindale/goliath-120b,,,generalist,,,
alpindale/magnum-72b-v1,72,,,,,generalist,,,
anthracite-org/magnum-12b-v2,12,Magnum 12B V2,https://huggingface.co/anthracite-org/magnum-v2-12b,mistralai/Mistral-Nemo-Base-2407,"Very diverse and creative model. May fall behind in logic compared to some other models but generally regarded as one of the more ""fun"" models in terms of how it writes. Good at both Story and RP.",roleplay,story,ChatML,"{""temperature"": 0.75, ""min_p"": 0.1}"
anthracite-org/magnum-v2-123b,123,,https://huggingface.co/anthracite-org/magnum-v2-123b,,,generalist,,,
anthracite-org/magnum-v3-27b-kto,27,Magnum v3 27B,https://huggingface.co/anthracite-org/magnum-v3-27b-kto,google/gemma-2-27b,"Big brother of the Magnum 12b model. Because this was trained on a totally different base, this MAY behave a bit differently than its smaller counterpart. Very good at RP and storywriting with a lot of creative flair.",story,roleplay,ChatML,
anthracite-org/magnum-v3-34b,34,,https://huggingface.co/anthracite-org/magnum-v3-34b,,,generalist,,,
anthracite-org/magnum-v3-9b-chatml,9,,https://huggingface.co/anthracite-org/magnum-v3-9b-chatml,,,generalist,,,
anthracite-org/magnum-v3-9b-customgemma2,9,,https://huggingface.co/anthracite-org/magnum-v3-9b-customgemma2,,,generalist,,,
anthracite-org/magnum-v4-123b,123,Magnum v4 123B,https://huggingface.co/anthracite-org/magnum-v4-123b,mistralai/Mistral-Large-Instruct-2407,,generalist,,Mistral,
anthracite-org/magnum-v4-12b,12,Magnum v4 12B,https://huggingface.co/anthracite-org/magnum-v4-12b,mistralai/Mistral-Nemo-Instruct-2407,,generalist,,Mistral,
anthracite-org/magnum-v4-22b,22,Magnum v4 22B,https://huggingface.co/anthracite-org/magnum-v4-22b,mistralai/Mistral-Small-Instruct-2409,,generalist,,Mistral,
anthracite-org/magnum-v4-27b,27,Magnum v4 27B,https://huggingface.co/anthracite-org/magnum-v4-27b,google/gemma-2-27b,,generalist,,ChatML,
anthracite-org/magnum-v4-72b,72,Magnum v4 72B,https://huggingface.co/anthracite-org/magnum-v4-72b,Qwen/Qwen2.5-72B-Instruct,,generalist,,ChatML,
anthracite-org/magnum-v4-9b,9,Magnum v4 9B,https://huggingface.co/anthracite-org/magnum-v4-9b,google/gemma-2-9b,,generalist,,ChatML,
arcee-ai/Llama-3.1-SuperNova-Lite,8,,,,,generalist,,,
arcee-ai/SuperNova-Medius,14,,,,,generalist,,,
ArliAI/Mistral-Nemo-12B-ArliAI-RPMax-v1.1,12,,https://huggingface.co/ArliAI/Mistral-Nemo-12B-ArliAI-RPMax-v1.1,,,generalist,,,
ArliAI/Mistral-Nemo-12B-ArliAI-RPMax-v1.2,12,,,,,generalist,,,
Aurore-Reveil/Koto-Small-7B-IT,7,,,,,generalist,,,
Austism/chronos-hermes-13b-v2,13,,https://huggingface.co/Austism/chronos-hermes-13b-v2,,,generalist,,,
Austism/chronos-hermes-13b,13,,https://huggingface.co/Austism/chronos-hermes-13b,,,generalist,,,
bigscience/bloom-1b7,1.7,,https://huggingface.co/bigscience/bloom-1b7,,,generalist,,,
bigscience/bloom-3b,3,,https://huggingface.co/bigscience/bloom-3b,,,generalist,,,
bigscience/bloom-560m,0.56,,https://huggingface.co/bigscience/bloom-560m,,,generalist,,,
bigscience/bloom-7b1,7.1,,https://huggingface.co/bigscience/bloom-7b1,,,generalist,,,
bigscience/bloom,176,,https://huggingface.co/bigscience/bloom,,,generalist,,,
bigscience/bloomz-1b7,1.7,,https://huggingface.co/bigscience/bloomz-1b7,,,generalist,,,
bigscience/bloomz-3b,3,,https://huggingface.co/bigscience/bloomz-3b,,,generalist,,,
bigscience/bloomz-7b1,7.1,,https://huggingface.co/bigscience/bloomz-7b1,,,generalist,,,
bigscience/bloomz,176,,https://huggingface.co/bigscience/bloomz,,,generalist,,,
Black-Ink-Guild/Pernicious_Prophecy_70B,70,,,,,generalist,,,
bluuwhale/L3-SthenoMaidBlackroot-8B-V1,8,,https://huggingface.co/bluuwhale/L3-SthenoMaidBlackroot-8B-V1,,,generalist,,,
Bronya-Rand/Inairtra-7B,7,,https://huggingface.co/Bronya-Rand/Inairtra-7B,,,generalist,,,
brucethemoose/Yi-34B-200K-RPMerge,34,,https://huggingface.co/brucethemoose/Yi-34B-200K-RPMerge,,,generalist,,,
BruhzWater/Edens-Fall-L3.3-70b-0.3b,71,,https://huggingface.co/BruhzWater/Edens-Fall-L3.3-70b-0.3b,deepcogito/cogito-v2-preview-llama-70B,"Tuner's Notes: Final stage of a 3 part merge. I wanted to try to create a model for creative writing that had lengthy responses without repeating story beats. This one feels relatively unique, but still being tested.",chat,roleplay,Llama3,
BruhzWater/Sapphira-L3.3-70b-0.1,71,,https://huggingface.co/BruhzWater/Sapphira-L3.3-70b-0.1,deepcogito/cogito-v2-preview-llama-70B,Ranks 2nd place in UGI under 100B on the UGI Leaderboard with high Willingness and Writing scores. This model is great for general ERP.,chat,roleplay,Llama3,
BruhzWater/Sapphira-L3.3-70b-0.2,71,,https://huggingface.co/BruhzWater/Sapphira-L3.3-70b-0.2,deepcogito/cogito-v2-preview-llama-70B,"Storytelling and RP model similar to Sapphira-L3.3-70b-0.1, but a little spicier. Ranks 3rd place in UGI under 100B on the UGI Leaderboard with high Willingness and Writing scores. This model is excellent for general ERP.",chat,roleplay,Llama3,
CalderaAI/13B-BlueMethod,13,,https://huggingface.co/CalderaAI/13B-BlueMethod,,,generalist,,,
CalderaAI/13B-Ouroboros,13,,https://huggingface.co/CalderaAI/13B-Ouroboros,,,generalist,,,
CalderaAI/30B-Epsilon,33,,https://huggingface.co/CalderaAI/30B-Epsilon,,,generalist,,,
CalderaAI/30B-Lazarus,33,,https://huggingface.co/CalderaAI/30B-Lazarus,,,generalist,,,
Casual-Autopsy/L3-Super-Nova-RP-8B,8,,https://huggingface.co/Casual-Autopsy/L3-Super-Nova-RP-8B,,,chat,"popular,roleplay",Llama 3 Instruct,
Casual-Autopsy/Maginum-Cydoms-24B,24,,https://huggingface.co/Casual-Autopsy/Maginum-Cydoms-24B,,"The following models were included in the merge:anthracite-core/Mistral-Small-3.2-24B-Instruct-2506-Text-Only, TheDrummer/Magidonia-24B-v4.3, TheDrummer/Precog-24B-v1, zerofata/MS3.2-PaintedFantasy-v3-24B, TheDrummer/Cydonia-24B-v4.3, ReadyArt/4.2.0-Broken-Tutu-24b, zerofata/MS3.2-PaintedFantasy-v2-24B",chat,roleplay,Mistral V7 Tekken,
cgato/L3-TheSpice-8b-v0.8.3,8,,https://huggingface.co/cgato/L3-TheSpice-8b-v0.8.3,,,generalist,,,
ChaoticNeutrals/Poppy_Porpoise-v0.7-L3-8B,8,,https://huggingface.co/ChaoticNeutrals/Poppy_Porpoise-v0.7-L3-8B,,,generalist,,,
chargoddard/storytime-13b,13,,https://huggingface.co/chargoddard/storytime-13b,chargoddard/Chronorctypus-Limarobormes-13b,"A few years old, but still a strong chat, roleplay, and storytelling NSFW model.",Chat,"popular,roleplay,storytelling",Alpaca,
chavinlo/gpt4-x-alpaca,13,,https://huggingface.co/chavinlo/gpt4-x-alpaca,,,generalist,,,
codellama/CodeLlama-13b-hf,13,,https://huggingface.co/codellama/CodeLlama-13b-hf,,,generalist,,,
codellama/CodeLlama-13b-Instruct-hf,13,,https://huggingface.co/codellama/CodeLlama-13b-Instruct-hf,,,generalist,,,
codellama/CodeLlama-34b-hf,34,,https://huggingface.co/codellama/CodeLlama-34b-hf,,,generalist,,,
codellama/CodeLlama-34b-Instruct-hf,34,,https://huggingface.co/codellama/CodeLlama-34b-Instruct-hf,,,generalist,,,
codellama/CodeLlama-7b-hf,7,,https://huggingface.co/codellama/CodeLlama-7b-hf,,,generalist,,,
